Date,Wind,Other Fossil,Gas,Other Renewables,Solar,Hydro,Bioenergy,Nuclear,Coal
2025-01-01,14.4,1.93,26.7,0.78,3.05,15.6,2.77,20.31,14.46
2025-02-01,11.45,2.01,27.52,0.78,4.97,15.78,2.86,19.48,15.14
2025-03-01,12.47,1.98,24.32,0.82,8.5,15.65,2.82,19.87,13.58
2025-04-01,10.91,2.07,21.54,0.87,11.91,18.13,3.0,19.53,12.04
2025-05-01,11.95,2.02,19.14,0.86,14.06,19.63,2.84,19.15,10.34
2025-06-01,12.16,1.95,19.11,0.81,15.44,18.02,2.61,19.71,10.18
2025-07-01,9.51,1.95,22.09,0.78,14.16,16.89,2.54,20.23,11.86
2025-08-01,10.58,1.99,22.0,0.81,14.2,15.68,2.67,20.43,11.64
2025-09-01,13.87,1.97,21.9,0.82,11.08,15.43,2.71,20.47,11.74
2025-10-01,15.24,2.1,24.64,0.8,7.32,14.35,2.71,20.16,12.68
