Year,Wind,Other Fossil,Gas,Other Renewables,Solar,Hydro,Bioenergy,Nuclear,Coal
2000,0.5,6.52,21.3,0.16,0.0,17.14,0.78,26.34,27.26
2001,0.59,6.38,21.51,0.16,0.0,17.01,0.82,26.74,26.79
2002,0.79,6.52,22.33,0.16,0.01,15.54,0.93,26.91,26.82
2003,0.95,5.99,23.47,0.17,0.01,14.35,1.07,26.65,27.33
2004,1.24,5.3,24.42,0.17,0.01,15.28,1.27,26.33,25.97
2005,1.46,5.14,25.54,0.17,0.03,15.06,1.45,25.73,25.41
2006,1.68,4.94,25.61,0.19,0.05,14.58,1.61,25.33,26.0
2007,2.1,4.4,27.3,0.21,0.08,14.45,1.76,23.99,25.71
2008,2.39,4.15,28.18,0.22,0.15,14.64,1.94,23.81,24.53
2009,2.8,3.95,27.59,0.24,0.29,15.51,2.25,23.98,23.38
2010,3.02,3.54,28.35,0.23,0.46,15.82,2.47,23.62,22.48
2011,3.7,3.71,27.39,0.25,0.95,14.29,2.65,23.59,23.47
2012,4.21,3.61,24.81,0.26,1.42,15.3,2.93,22.99,24.47
2013,4.89,3.06,23.6,0.28,1.71,16.48,3.15,22.84,23.98
2014,5.33,3.14,23.34,0.31,1.98,16.2,3.39,23.46,22.84
2015,6.33,3.17,23.31,0.33,2.18,15.81,3.6,23.06,22.22
2016,6.33,3.2,24.89,0.36,2.24,16.25,3.61,22.29,20.84
2017,7.47,3.03,25.98,0.38,2.42,14.84,3.69,22.13,20.05
2018,7.81,2.91,25.0,0.41,2.67,16.03,3.78,22.09,19.3
2019,9.03,2.75,25.97,0.44,2.99,15.96,3.97,22.27,16.63
2020,10.38,2.5,25.49,0.48,3.6,17.48,4.21,21.17,14.68
2021,9.69,2.49,25.86,0.46,3.86,16.56,4.27,21.4,15.4
2022,11.08,2.73,25.92,0.48,4.97,14.93,4.22,19.25,16.42
2023,12.29,2.5,24.21,0.48,6.02,16.76,3.98,19.43,14.31
2024,12.37,2.49,23.09,0.48,7.2,17.59,3.98,19.66,13.14
