Year,AD,AE,AF,AG,AL,AM,AO,AR,AS,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FR,GA,GB,GD,GE,GH,GL,GM,GN,GQ,GR,GT,GU,GW,GY,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KZ,LA,LB,LC,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MP,MR,MT,MU,MV,MW,MX,MY,MZ,,NE,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PG,PH,PK,PL,PR,PS,PT,PW,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SY,SZ,TD,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VI,VN,VU,WS,YE,ZA,ZM,ZW
1990,0.0,0.0,876045.9045735504,0.0,0.0,0.0,3342764.5950481063,1659.9871899046627,0.0,0.0,0.0,154.15995853898193,0.0,0.0,1369509.927619954,0.0,5799236.484953318,0.0,0.0,2622990.2381340666,2190382.590514373,0.0,0.0,142903.4814455323,2154264.4679103,0.0,632603.8987479131,828.7751337567881,0.0,14747.802363275145,0.0,18124659.393401988,1176754.2844010894,856318.7975784465,0.0,6512221.382111909,0.0,0.0,4524594.392485632,292386.92361412523,324088.3150767663,2772.140249558699,0.0,5.692122522074604,0.0,0.0,0.0,13576.738630931972,0.0,0.0,1201.0043975282078,2280.462198367916,189389.591632376,0.0,0.0,71958.00093422548,0.0,1009435.8494456596,0.0,0.0,0.0,0.0,332810.7815288236,0.0,0.0,0.0,7219793.716974673,0.0,149630.13846107305,2746196.894139806,136547.5865381933,0.0,179084.08372288998,0.0,425729.64808219153,106870.18998878538,155768.8257716559,0.0,58362.63822548943,0.0,2918522.0928099547,0.0,0.0,32822525.27551889,16220.569710515932,281217.19925491296,0.0,0.0,0.0,0.0,0.0,5718641.745519748,0.0,720719.9824099961,0.0,110323.81243678296,0.0,0.0,1714.374522556668,0.0,0.0,72685.52689465125,0.0,0.0,835608.9159376819,1149119.2208644368,0.0,0.0,0.0,0.0,0.0,3345.647571884272,0.0,0.0,0.0,2701462.265638612,0.0,0.0,4175327.4631093256,890142.8501235958,0.0,0.0,47103.62831530848,0.0,0.0,0.0,4567232.074162759,126219.72190460908,114993.5155181757,6304463.36219837,132774.14769335248,3180139.989722499,38839461.81969389,91303.4845208061,0.0,0.0,136441.2168127453,0.0,0.0,0.0,4786.435511571659,1085.645375248317,727665.5417756162,2166059.8004605514,291048.87923868274,5791039.905179527,0.0,0.0,0.0,0.0,0.0,13335.84296965236,0.0,0.0,0.0,0.0,1516857.513355973,14745.023169774347,186125.2617623497,0.0,2311105.3840746167,0.0,0.0,0.0,0.0,1914477.7130065863,0.0,716545.9974221194,1280936.8672888053,23032.367158713605,2162719.423735168,23398.05367118676,46124.98938835839,310.6985409487606,8999.454435129595,1849666.9245699856,1748128.668703076,862380.7533104675,37144.22078379017,0.0,75887.52680991539,0.0,0.0,0.0,10738.197543995288,0.0,0.0,0.0,9297346.358320616,0.0,8462917.227285227,0.0,0.0,13.269654842140516,0.0,121363.90766719864,0.0,146832.39239874325,70516.38147898977,0.0,1815446.528552008,80367.89718513438,2976481.791787765,712029.2495009465
1991,0.0,0.0,784074.3326508933,0.0,0.0,0.0,3460436.373284161,803.0049384333362,0.0,0.0,0.0,685.7695045666649,0.0,0.0,1283909.8045091203,0.0,5936350.001357349,0.0,0.0,2682642.872051894,2262134.574878254,0.0,0.0,147026.50701843813,2180425.718971244,0.0,512611.1267429456,1106.8217641491146,0.0,11564.628068690685,0.0,18607758.92604893,1205755.3120994174,877297.3097259054,0.0,6723524.936503776,0.0,0.0,4669890.711297832,259687.9267092248,564386.8287601266,7432.038723678697,0.0,6.071597663804869,0.0,0.0,0.0,32882.441768570505,0.0,0.0,1173.4980912958256,1640.7853665091263,165411.76566618332,0.0,0.0,64315.86466505814,0.0,1039111.8504631245,0.0,0.0,0.0,0.0,340414.8266938706,0.0,0.0,0.0,7348485.526119608,0.0,136735.48783608348,2852001.5175537704,142517.24028552911,0.0,259048.7448762712,0.0,434559.8120438042,169354.50610988663,204279.35288285863,0.0,245358.85353332912,0.0,2688811.942849756,0.0,0.0,31447051.7954554,8679.150662816139,325629.4014280737,0.0,0.0,0.0,0.0,0.0,5868663.006609156,0.0,592483.528709491,0.0,64874.89797783962,0.0,0.0,1742.7252270892404,0.0,0.0,128122.24819589556,0.0,0.0,1139089.2991210104,920573.2533555732,0.0,0.0,0.0,0.0,0.0,1915.1660975849268,0.0,0.0,0.0,2774769.9844953506,0.0,0.0,4258518.42626003,552543.6642911416,0.0,0.0,65548.67013539356,0.0,0.0,0.0,4731969.752239582,75682.02327204283,88626.38303608404,6332760.892577617,85825.26019141589,3273936.5117350174,39973614.01073664,69759.04955913198,0.0,0.0,162755.10451253745,0.0,0.0,0.0,19586.05119924625,3082.0522903658966,687697.4794434418,2064874.0560897544,278065.3579183763,5701663.028288939,0.0,0.0,0.0,0.0,0.0,13979.241909781524,0.0,0.0,0.0,0.0,1547916.279891344,9061.543784494934,184550.22902040268,0.0,2405842.9758533672,0.0,0.0,0.0,0.0,1960506.8309611324,0.0,738885.7515055531,1276733.4409366825,19826.029963272453,2207765.986780409,21212.53947845332,33601.12500889984,58.57047349729383,6722.613984577472,1909407.233249644,1791717.042408083,620084.1125994928,32702.620758331526,0.0,67558.60040811116,81.14130976440366,0.0,0.0,10753.917742220136,0.0,0.0,0.0,9559888.20818038,0.0,8755889.603108104,0.0,0.0,8.250064562227207,0.0,102484.3506993171,0.0,149041.8947147558,46834.74516913272,0.0,1678210.2331281414,52676.96280297067,3045810.1567382235,607723.438486472
1992,0.0,0.0,595984.8440443694,0.0,0.0,0.0,3588389.0942959576,642.9831155686976,0.0,0.0,0.0,169.1637755487755,0.0,0.0,1214661.2875809912,0.0,6078565.856099879,0.0,0.0,2744554.6064396026,2334040.1085320804,0.0,0.0,133640.13344324322,2123959.6584822573,0.0,362410.8323827756,382.773510211738,0.0,26923.591396529293,0.0,19100481.008031312,1238765.6900746124,898921.9703163014,0.0,6927556.185999419,0.0,0.0,4824115.50446809,186682.66468565472,553694.2770990931,14770.4757204972,0.0,2.859675645896231,0.0,0.0,0.0,33315.23657582232,0.0,0.0,2270.1929473330483,1123.5429307231193,110670.28905496802,0.0,0.0,55898.86138142111,0.0,1009023.1234556736,0.0,0.0,0.0,0.0,347912.05976649164,0.0,0.0,0.0,7480019.611283773,0.0,112435.65909539312,2982018.8101460384,148871.79641465453,0.0,264059.27670008835,0.0,443624.5483622305,162015.11046742083,199114.09089458524,0.0,143767.8144748099,0.0,2429016.442745256,0.0,0.0,31356461.687346023,24802.596741059144,237233.4441518888,0.0,0.0,0.0,0.0,0.0,6027261.444654862,0.0,504833.7813567473,0.0,60652.80142546188,0.0,0.0,1674.0489084964936,0.0,0.0,117532.94671558974,0.0,0.0,1127666.638140305,888736.261124495,0.0,0.0,0.0,0.0,0.0,1575.7656738550388,0.0,0.0,0.0,2857308.9164941604,0.0,0.0,4335641.023056089,496325.3663820509,0.0,0.0,72322.94531037232,0.0,0.0,0.0,4872410.320416014,48681.60277501361,80178.54458200315,6392517.169943736,70572.28988061128,3371079.4046414504,41136466.59562515,68025.13946261856,0.0,0.0,131543.2714340876,0.0,0.0,0.0,14910.251933704076,1992.2844454459569,624605.7286531621,2018146.7371931032,294860.438976147,5347688.663186025,0.0,0.0,0.0,0.0,0.0,5661.758287505603,0.0,0.0,0.0,0.0,1566849.4985943218,18331.069557114213,190136.33513050657,0.0,2513270.153168708,0.0,0.0,0.0,0.0,1919050.910803431,0.0,783799.3803627123,1265105.2429467696,17182.06862316104,2258639.7076845453,20394.3260526033,23111.637168552163,1759.657132276656,5604.137738822155,1967410.9873015448,1833943.1615297096,510900.64064633456,48021.651830349525,0.0,65561.36223416319,32.4325555856145,0.0,0.0,12027.60999825564,0.0,0.0,0.0,9850529.358694335,0.0,9054359.336487778,0.0,0.0,0.0,0.0,56032.2673205364,0.0,150771.04748102362,31830.82195028365,0.0,1561190.780043631,46347.07236768168,3117567.594743909,459475.5164376062
1993,0.0,0.0,439090.8241837935,0.0,0.0,0.0,3744150.301872584,758.0098630904535,0.0,0.0,0.0,142.51062291771078,0.0,0.0,1056122.7399032896,0.0,6226601.382848431,0.0,0.0,2734303.9568076814,2402864.290863993,0.0,0.0,115326.98550372467,1736902.009425369,0.0,253208.71155594755,4055.906662753523,0.0,11090.872733739672,0.0,19600517.00742892,1276428.6904190758,922564.965389747,0.0,7129062.319130331,0.0,0.0,4986731.127237724,149650.65343188157,397796.7059724805,11572.597528843178,0.0,3.2548191579607475,0.0,0.0,0.0,2867.0290066635725,0.0,0.0,2943.5674170298603,753.4492683912041,135772.89245120186,0.0,0.0,48429.24708666489,0.0,1141737.1942793012,0.0,0.0,0.0,0.0,355944.0390518515,0.0,0.0,0.0,7629528.1246323185,0.0,134641.3397300546,3085778.157826171,155752.15554208244,0.0,158815.1224879456,0.0,452172.82589476905,123677.37128876032,142309.60884346263,0.0,179836.55724128708,0.0,2184007.321315476,0.0,0.0,30142085.407364648,1181.8623119640276,202059.1198450823,0.0,0.0,0.0,0.0,0.0,6191885.425744935,0.0,553310.8636439939,0.0,107577.15063390834,0.0,0.0,1691.6421716933971,0.0,0.0,128043.18222973395,0.0,0.0,1013992.1636152314,965533.9985736524,0.0,0.0,0.0,0.0,0.0,701.7379799350158,0.0,0.0,0.0,2954877.4448571084,0.0,0.0,4405303.251324296,466671.7718107218,0.0,0.0,73885.9271025655,0.0,0.0,0.0,4948232.050003614,45117.305002703615,84412.62653847694,6514558.341747199,63315.36060985296,3480071.599030264,42378303.934332274,105884.7547183868,0.0,0.0,93391.4745354256,0.0,0.0,0.0,16855.394020054315,927.7555453153512,600605.9754292795,1955331.7692089432,213479.3220722729,5090535.150497107,0.0,0.0,0.0,0.0,0.0,1945.150679045617,0.0,0.0,0.0,0.0,1627809.5653546464,18230.190500656143,184630.5374060801,0.0,2626017.555542274,0.0,0.0,0.0,0.0,1861887.1193658384,0.0,884872.4365789371,1274023.7238251842,13213.246080842997,2313659.281479775,22233.259479619985,18668.794597447195,4385.016278930974,5298.683989338097,2028989.74999538,1876969.998546572,343761.31361656863,131563.34157555102,0.0,47370.1029050934,7.318666465706244,0.0,0.0,14163.20741963665,0.0,0.0,0.0,10173377.976358691,0.0,9364359.188962966,0.0,0.0,0.0,0.0,36830.20459632634,0.0,157247.72728176948,24851.94952023914,0.0,1432286.25826937,41289.60220030604,3191564.9059228417,844517.0573768379
1994,0.0,0.0,561043.6235154556,0.0,0.0,7.408329950258531,3893972.538127495,947.999133716993,0.0,0.0,0.0,3835.158259316373,0.0,0.0,970457.5787457183,0.0,6380423.885910757,0.0,0.0,2677949.341921036,2470989.3410794777,0.0,0.0,102813.56069883012,2009819.930454885,0.0,169302.94321862274,2188.2695991955807,0.0,14718.623594892202,0.0,20117380.32508881,1317377.4500365483,949744.3304660312,0.0,7317809.498477764,0.0,0.0,5149683.13484614,161523.26074232772,391400.5961694782,10012.836329435726,0.0,1.65878680321842,0.0,0.0,0.0,24085.21247465553,0.0,0.0,4720.664588852311,526.9937876316982,81605.20967500402,0.0,0.0,45071.33854177383,0.0,1132384.2698070602,0.0,0.0,0.0,0.0,364273.2915745519,0.0,0.0,0.0,7776969.237883674,0.0,164628.0928387381,3179591.1350420886,162918.00604357355,0.0,86073.01436342378,0.0,460172.2382989642,156417.10857421395,176989.5146975718,0.0,225806.4302041416,0.0,2091952.1958873689,0.0,0.0,29176445.72918032,386205.3282479349,158387.5651086073,0.0,0.0,0.0,0.0,0.0,6341516.895265119,0.0,481841.457902262,0.0,96438.86121310553,0.0,0.0,1594.9718032273342,0.0,0.0,155779.75587469168,0.0,0.0,750256.8001407725,974177.5258997688,0.0,0.0,0.0,0.0,0.0,673.7393306796472,0.0,0.0,0.0,3037151.318973096,0.0,0.0,4476567.943365771,469592.5963398816,0.0,0.0,220339.6498451373,0.0,0.0,0.0,4858611.673851335,35058.38624310655,118157.0994422993,6822852.17980362,68600.20210950848,3600137.4998052097,43729610.92815817,93521.76294252076,0.0,0.0,55627.692951539786,0.0,0.0,0.0,4429.385669248181,1547.6551970812234,536819.6140819252,1871988.981477538,199521.15702789288,4795214.45188297,0.0,0.0,0.0,0.0,0.0,2475.1258610441623,0.0,0.0,0.0,0.0,1516938.31148986,6629.305881542648,191581.8020332828,0.0,2722465.855790448,0.0,0.0,0.0,0.0,1866018.047212849,0.0,884916.802401104,1307392.5442333168,13169.813801230935,2370756.4523477843,21820.228657899104,14130.200202245507,2129.3030598745804,6094.310833696312,2096778.827792152,1919213.102897463,296973.72307739634,38801.41894277519,0.0,44754.91369075886,7.280718310177653,0.0,0.0,16210.591214498016,0.0,0.0,0.0,10494728.858207904,0.0,9700198.943198636,0.0,0.0,0.0,0.0,41756.92222992745,0.0,151094.46370668907,8858.08548839714,0.0,1335620.0211843017,47706.82736199266,3268735.987797375,370254.6745309949
1995,0.0,0.0,610418.1813515979,0.0,0.0,0.0,4014284.979630557,1064.9688093434197,0.0,0.0,0.0,15944.30421705435,0.0,0.0,912682.1629107796,0.0,6541620.753494157,0.0,0.0,2755871.643519359,2542422.928376487,0.0,0.0,101983.27646618332,1909959.264416795,0.0,124864.14347001276,1305.065641700916,0.0,16167.499557901305,0.0,20669462.337732136,1354194.3082346038,977658.2002280412,0.0,7506588.557928679,0.0,0.0,5309873.7704614885,120067.6748128254,524289.2691412636,10791.502522701832,0.0,8.557627179380798,0.0,0.0,0.0,3801.706801001739,0.0,0.0,5006.9602668378,360.4432735276292,45476.09586797436,0.0,0.0,20785.51394862296,0.0,1594503.8645939326,0.0,0.0,0.0,0.0,371997.40743285854,0.0,0.0,0.0,7917681.195336277,0.0,80590.8581339708,3282268.372010519,170477.37406453368,0.0,89255.0070074042,0.0,468362.8400550791,203867.75345999235,211623.23577997816,0.0,189390.31445605084,0.0,2056992.8303535609,0.0,0.0,28349275.36375367,2244.044317766954,212935.4946011851,0.0,0.0,0.0,0.0,0.0,6487735.6415281305,0.0,418046.97181152337,0.0,29938.26733129079,0.0,0.0,1562.1556296707547,0.0,0.0,153091.4899993888,0.0,0.0,385833.1147061402,955728.6072496067,0.0,0.0,0.0,0.0,0.0,623.8389775876852,0.0,0.0,0.0,3104162.347625543,0.0,0.0,4562458.309237232,450133.3983044553,0.0,0.0,304480.9133793886,0.0,0.0,0.0,4706971.63011498,20686.08280771565,117608.03677559872,7281565.73448742,90483.30927171148,3723140.578733302,45076793.27698286,156007.85459648192,0.0,0.0,52373.318212954255,0.0,0.0,0.0,1174.6581790678877,1900.243500993057,471932.12677360064,1792691.8524220018,178546.0574430161,4517075.357863948,0.0,0.0,0.0,0.0,0.0,3934.488222550452,0.0,0.0,0.0,0.0,1260272.579019615,15666.463857551167,188967.8451891748,0.0,2832701.311661549,0.0,0.0,0.0,0.0,1892604.0471403864,0.0,1277993.9180627237,1356664.7404014794,14554.023058433846,2427911.88332177,28310.18441068773,14710.81764549528,2560.985831697609,7582.403980552292,2166763.986824604,1963284.514405016,236505.27262178407,33635.2660377805,0.0,44492.37051832588,0.0,0.0,0.0,17076.63857413737,0.0,0.0,0.0,10801888.156471128,0.0,10075404.162530296,0.0,0.0,0.0,0.0,53786.07677535198,0.0,154722.3996759852,18989.61955286748,0.0,1297613.9390043968,62858.84160395696,3348945.882904349,844917.9041415104
1996,0.0,0.0,454192.58827618987,0.0,0.0,956.6226978412284,4142987.678273894,2047.9477106683407,0.0,0.0,0.0,72678.61242521003,0.0,0.0,869157.6156702593,0.0,6705850.671869321,0.0,0.0,2838830.49079039,2614311.897846964,0.0,0.0,107393.60543950603,1823840.483215084,0.0,90777.18528510418,5846.449288005416,0.0,17105.9569135507,0.0,21320179.141973075,1392598.8682289517,1006820.0236745974,0.0,7701211.435066262,0.0,0.0,5478048.934715627,82004.07315429025,360326.3950608016,12504.94086866384,0.0,5.3054300892442,0.0,0.0,0.0,3858.135911182176,0.0,0.0,4328.350042564545,237.489751894205,31296.85658177326,0.0,0.0,33182.42413164919,0.0,1578061.4438408504,0.0,0.0,0.0,0.0,380111.3568701752,0.0,0.0,19.21859202334468,8070351.956164226,0.0,148096.78600474598,3386550.2706387723,178288.70369771018,0.0,78332.99048967179,0.0,476745.8187285137,144681.25564718706,243598.64700939623,0.0,183343.6240548174,0.0,1986459.73177804,0.0,0.0,28037516.10558684,124114.55911838922,166429.0370870436,0.0,0.0,0.0,0.0,0.0,6632543.355928007,6.551051950231489,414849.2447750936,0.0,29143.27307335162,0.0,0.0,1730.052239874028,0.0,0.0,213976.14718057995,0.0,0.0,505799.2565221512,975496.1147937924,0.0,0.0,0.0,0.0,0.0,212.75234702794225,0.0,0.0,0.0,3179167.6200397923,0.0,0.0,4683975.84331899,459083.38788199774,0.0,0.0,275111.9825918129,0.0,0.0,0.0,4687700.894575501,18463.92569610236,102266.67325973904,7636841.227120205,111087.80072766336,3846005.9765842943,46469606.60687189,163118.47021334493,0.0,0.0,50859.52974736009,0.0,0.0,0.0,601.7971204254233,1143.7212284622403,415929.1139259519,1637676.1035422774,133278.4029304307,4221839.318315419,0.0,0.0,0.0,0.0,0.0,3097.5505045747227,0.0,0.0,0.0,0.0,1260135.8162225694,15094.261032855124,182061.2420340321,0.0,2963135.1994451843,0.0,0.0,0.0,0.0,1907540.5203283653,0.0,1460861.9950590949,1394845.9091416514,12011.617210187407,2485408.6634655613,25130.895176552523,19221.173668845884,1183.0904422819708,9860.782188382078,2237712.1358854207,2010755.623036567,239809.26320020304,41646.44317603703,0.0,41471.72045801304,19.93189505524562,0.0,0.0,16348.037189546118,0.0,0.0,0.0,11086550.35910395,0.0,10483424.563152926,0.0,0.0,0.0,0.0,54037.43474906098,0.0,144164.74982122856,12587.867929169744,0.0,1269980.194496809,75085.91560873562,3425913.234056226,1695241.8868796506
1997,0.0,0.0,617797.3820683854,0.0,0.0,3591.144629921469,4298478.847698795,591.9566506380421,0.0,0.0,0.0,55602.00137892354,0.0,0.0,923125.1984163944,0.0,6875601.296886773,0.0,0.0,2809859.219917842,2687651.271781477,0.0,0.0,110628.54692383746,1662614.064256148,0.0,53203.36335961222,7402.508017153356,0.0,18392.28871390452,0.0,21975025.18477888,1433763.4198160202,1075739.0249057813,0.0,7890083.302242087,0.0,0.0,5667542.227353316,63165.34647017313,469234.3995740067,11329.002782888436,0.0,1.394963106587812,0.0,0.0,0.0,16599.006311481797,0.0,0.0,2556.334675073166,176.92965779190374,44599.94971002161,0.0,0.0,50875.48897090349,0.0,1512131.794261339,0.0,0.0,0.0,0.0,389101.5707232316,0.0,0.0,0.0,8210696.680232288,0.0,170589.7405189738,3446874.847504112,186065.26985305065,0.0,122387.4663928928,0.0,483981.68469260144,131408.76243449582,186218.370757098,0.0,66321.62053152357,0.0,1958942.0620332484,0.0,0.0,28124452.020713188,36550.10555792849,63661.74542485804,0.0,0.0,0.0,0.0,0.0,6788707.719203368,0.0,476851.11783408927,0.0,74770.51076488498,0.0,0.0,2100.072694400472,0.0,0.0,201275.6691293633,0.0,0.0,580013.5412773917,1023820.102818063,0.0,0.0,0.0,0.0,0.0,75.9634681832436,0.0,0.0,0.0,3266872.273940511,0.0,0.0,4840644.898137059,496316.5758133102,0.0,0.0,276582.7827911281,0.0,0.0,0.0,4777995.807882036,14605.95376945798,52025.05563723667,7881486.26038662,132928.53435441738,3978413.742499093,47902530.18915067,113340.84932348983,0.0,0.0,105674.95612670678,0.0,0.0,0.0,127.21073695507268,1263.9244464829214,382271.72795214126,1631581.7579641845,132832.17990176723,4034182.237023789,0.0,0.0,0.0,0.0,0.0,3110.59291744369,0.0,0.0,0.0,0.0,1433122.9434208989,17542.973463366947,186782.07603934457,0.0,3100041.012714502,0.0,0.0,0.0,0.0,1948123.9687925696,0.0,1583866.852539366,1444152.3374934078,11463.650525125564,2507966.7093126294,25602.004366150915,11471.79917039456,352.1684762553609,10123.39457498036,2309686.535403899,2060005.774628344,254001.97398249552,61777.17424836847,0.0,43766.66298297709,26.767628377616,0.0,0.0,14691.054460505502,0.0,0.0,0.0,11401236.08824274,0.0,10883232.51357106,0.0,0.0,0.0,0.0,54408.96255859628,0.0,138189.92725636988,13392.298570542122,0.0,1264144.813743009,92468.82476959654,3505916.397430996,1957216.0665041176
1998,0.0,0.0,768257.0454606377,0.0,0.0,3397.5634670830736,4495158.673543793,338.999946732618,0.0,0.0,0.0,29306.81392413933,0.0,0.0,916492.5457162964,0.0,7060338.1210158,0.0,0.0,2811551.840272188,2754404.218990384,0.0,0.0,109074.8669708296,1800131.6313517909,0.0,49395.01647885446,4412.543803527171,0.0,25960.782366720927,0.0,22552429.07267698,1470792.0547686578,1135693.253992236,0.0,8081508.771886709,0.0,0.0,5875893.804346168,63418.89474778041,476206.27091975225,12333.350711559871,0.0,2.742503208202589,0.0,0.0,0.0,3901.2285563082864,0.0,0.0,6055.143303112172,124.80610163450392,104626.6084445463,0.0,0.0,63102.475058136384,0.0,1639402.253313657,0.0,0.0,0.0,0.0,397795.71905282233,0.0,0.0,85.66766774431147,8362862.858585079,0.0,131030.34647328072,3468195.549970274,194383.9831833884,0.0,171263.72231957788,0.0,493165.1651684651,142513.6425263459,118319.10837333972,0.0,291127.3341506816,0.0,1938792.4351147509,0.0,0.0,26060777.71455261,37307.40260892712,59465.53855293852,0.0,0.0,0.0,0.0,0.0,6961723.825674735,29.07171535148137,311941.451352426,0.0,83799.47556412224,0.0,7263.017643820092,2909.929369929985,0.0,0.0,108674.0948736064,0.0,0.0,580700.9757299097,1116436.2366184338,0.0,0.0,0.0,0.0,0.0,67.96871756962005,0.0,0.0,0.0,3382715.7826313763,0.0,0.0,5013149.076193981,428135.2157621019,0.0,0.0,225273.96736834687,0.0,0.0,0.0,4920562.646887696,64119.86966907206,26682.48319140415,8137567.541945219,157224.58195139942,4109691.6835835474,49260400.965772815,72216.28339956306,0.0,0.0,97921.43984898778,0.0,0.0,0.0,110.25409367996282,2474.8509022825674,373465.7525603204,1574393.8164550203,147772.3865026963,3798291.7301610834,0.0,0.0,0.0,0.0,0.0,10339.99596297404,0.0,0.0,0.0,0.0,1564531.99541731,36137.76908996872,198314.14967157587,0.0,3226263.8917514514,0.0,0.0,0.0,0.0,2005983.8750517704,0.0,1677363.5145516102,1499666.7766509918,12057.328137427112,2536695.545564228,22915.02746051293,5335.257401322736,63.89298021836721,10014.519994520584,2381039.239169045,2110852.8584066126,339737.5715591157,101228.2362169476,0.0,46793.50560140447,716.0789532932056,0.0,0.0,12872.685491029595,0.0,0.0,0.0,11795337.491644245,0.0,11293983.79389839,0.0,0.0,0.0,0.0,55003.323076468296,0.0,130816.06073152738,14072.512921676513,0.0,1263708.6914094691,87882.00010161684,3593944.6348278774,1919988.8048166705
1999,0.0,0.0,679540.8265863602,0.0,0.0,2088.9783955869725,4692280.971934334,222.02003641608547,0.0,0.0,0.0,13247.55111339604,0.0,0.0,938328.6488189254,0.0,7255912.968298233,0.0,0.0,2864280.443080686,2815868.867944376,0.0,0.0,108752.1844072045,2010948.422660657,0.0,74317.3268352993,5398.425931830803,0.0,20944.241288206176,0.0,23151216.071280684,1512326.9910011317,1151419.37028431,0.0,8271975.869968097,0.0,0.0,6081812.829207504,62017.09267937239,179974.27173250192,9407.431609336576,0.0,1.8756244154557,0.0,0.0,0.0,3879.571676763026,0.0,0.0,9319.799625203632,90.89101302798552,217874.4164954713,0.0,0.0,37430.00843059836,0.0,2050661.77732944,0.0,0.0,0.0,0.0,401943.8923243317,0.0,0.0,208.0144125676728,8517442.434803603,0.0,67120.63787294774,3512944.9541550493,203303.32859801044,0.0,170828.71576833632,0.0,502583.44938355125,99507.48862315503,139853.35322978868,0.0,158528.5354809673,0.0,1908490.568355078,0.0,0.0,22028121.511309806,14848.274107059526,44913.90999418084,0.0,0.0,0.0,0.0,0.0,7129757.447789135,0.0,330436.3614549055,0.0,91158.06110215528,0.0,51092.31653828124,4026.999793101855,0.0,0.0,83598.67021928183,0.0,0.0,713314.5681034644,1211822.8122202842,0.0,0.0,0.0,0.0,0.0,16.984028079607956,0.0,0.0,0.0,3497374.355240376,0.0,0.0,5162237.573208731,553080.1672118435,0.0,0.0,279606.80897325464,0.0,0.0,0.0,5065211.9340396095,35053.258151272654,22364.28403524485,8373039.364114464,156090.7348190136,4245020.645721176,50721334.77141232,84774.47774290752,0.0,0.0,92452.53544570383,0.0,0.0,0.0,28.01526265039553,2158.657743121607,354583.9789993642,1545618.087285211,110221.09139056188,3720372.747480582,0.0,0.0,0.0,0.0,0.0,47667.8087750101,0.0,0.0,0.0,0.0,1620464.0135350337,10011.242053070477,197462.69023201696,0.0,3314945.385475144,0.0,0.0,0.0,0.0,2019866.233044953,0.0,1785422.3241955629,1556138.916091327,11917.346565407594,2615366.1591792647,16838.65705148386,4511.113409872318,4.939632842845371,9817.834125082749,2444497.387932823,2154311.608321681,312563.5394419626,107934.32486116794,0.0,53518.52129926046,65.0012120394702,0.0,0.0,11686.200559978728,0.0,0.0,0.0,12158638.992370425,0.0,11713926.122902952,0.0,0.0,25.33660640813777,0.0,49888.05363941493,0.0,138360.02736203393,11319.908896002478,0.0,1232916.9471520344,80423.74204511665,3685172.896101637,1977752.433225473
